title,company,role_type,location,work_mode,experience_text,salary_text,skills,url,source_portal,posted_date,scraped_at
Inbound Customer Service Representative,Jumbotail,Non-Technical,Lucknow,On-site,0 to 4 Yrs,[Salary Hidden],"Customer Service, Customer Support, Verbal Communication, CRM, Retail, Logistics, Call Center Operations, Active Listening, Empathy, Ecommerce",https://www.shine.com/jobs/inbound-customer-service-representative/jumbotail/19198270/19198270,Shine,2026-07-02T14:51:06,2026-08-24T12:00:46.808406
People Experience and Development,Jumbotail,Non-Technical,Not Specified,Not Specified,,,,https://jumbotail.com/people-experience-and-development/,Career Site (Jumbotail),,2026-08-24T11:48:55.725528
Customer Success Executive,Jumbotail,Non-Technical,Not Specified,Not Specified,,,,https://jumbotail.com/customer-success-executive/,Career Site (Jumbotail),,2026-08-24T11:48:55.725528
Retail Trainer,Jumbotail,Non-Technical,Not Specified,Not Specified,,,,https://jumbotail.com/retail-trainer/,Career Site (Jumbotail),,2026-08-24T11:48:55.725528
Business Development Manager,Jumbotail,Non-Technical,Not Specified,Not Specified,,,,https://jumbotail.com/business-development-manager/,Career Site (Jumbotail),,2026-08-24T11:48:55.725528
Manager - Finance,Jumbotail,Non-Technical,Not Specified,Not Specified,,,,https://jumbotail.com/finance-manager-corporate/,Career Site (Jumbotail),,2026-08-24T11:48:55.725528
Category Manager,Jumbotail,Non-Technical,Not Specified,Not Specified,,,,http://jumbotail.com/category-manager/,Career Site (Jumbotail),,2026-08-24T11:48:55.725528
Key Account Manager,Jumbotail,Non-Technical,Not Specified,Not Specified,,,,http://jumbotail.com/key-account-manager/,Career Site (Jumbotail),,2026-08-24T11:48:55.725528
Front End Developer (UI),Jumbotail,Non-Technical,Not Specified,Not Specified,,,,http://jumbotail.com/front-end-engineer-ui/,Career Site (Jumbotail),,2026-08-24T11:48:55.725528
Software Development Engineer,Jumbotail,Non-Technical,Not Specified,Not Specified,,,,http://jumbotail.com/software-development-engineer/,Career Site (Jumbotail),,2026-08-24T11:48:55.725528
